Title,Name,Date,Time,Location,Lat,Long,Report
Sprite Over Tropical Storm Nicole,Frankie Lucena,11/8/22,7:43pm,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=190063
Sprite-Halo Event South Of Puerto Rico,Frankie Lucena,10/29/22,3:45am,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=189720
Dancing Sprites Near Puerto Rico,Frankie Lucena,8/21/22,10:24pm,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=187821
Red Sprite And Aurora Borealis,Douglas Kiesling,7/23/22,10:35am,"St Cloud, MN",45.5616075,-94.1642004,https://spaceweathergallery.com/indiv_upload.php?upload_id=187062
Auroras And Red Sprites,Kalyky,7/5/22,11:55am,"Kinsey, Montana, USA",46.5708375,-105.6569427,https://spaceweathergallery.com/indiv_upload.php?upload_id=186448
Synchronized Sprite And GLM Satellite Dat,Frankie Lucena,4/6/20,12:23am,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=183605
Red Sprites,paul smith,10/18/21,7:30pm,Oklahoma,34.9550817,-97.2684063,https://spaceweathergallery.com/indiv_upload.php?upload_id=178764
Sprites And A Gigantic Jet Over TS Grace,Frankie Lucena,8/17/21,11:33pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=177191
Red Sprites And Perseid Meteor,Stephen Hummel,8/9/21,8:59pm,"McDonald Observatory, TX",30.6758212,-104.0205838,https://spaceweathergallery.com/indiv_upload.php?upload_id=176931
Close Encounter With A Sprite,Frankie Lucena,4/29/21,9:28am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=174161
Red Sprites,paul smith,4/7/21,6:41am,Pawhuska Oklahoma,36.6678426,-96.3372309,https://spaceweathergallery.com/indiv_upload.php?upload_id=173558
Early Geminid Meteors And A Sprite,Frankie Lucena,12/12/20,11:50pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=170474
Sprite-Halo With Feet And A Red Sprite,Frankie Lucena,10/6/20,12:25am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=168570
"Red Sprites, Green Ghost",Stephen Hummel,6/21/20,8:35pm,"McDonald Observatory, TX",30.6758212,-104.0205838,https://spaceweathergallery.com/indiv_upload.php?upload_id=163783
Jellyfish Sprites,Michael Gavan,5/24/20,9:56am,"Bethune, Colorado",39.3041624,-102.4246395,https://spaceweathergallery.com/indiv_upload.php?upload_id=162644
"Red Sprites, Airglow",Stephen Hummel,5/14/20,7:44pm,"McDonald Observatory, TX",30.6758212,-104.0205838,https://spaceweathergallery.com/indiv_upload.php?upload_id=162310
Red Sprites,paul smith,4/17/20,6:24am,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=161400
New TLE Chart: Red Sprite - Gigantic Jet,Frankie Lucena,3/2/20,7:15pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=159728
Red Sprites,paul smith,10/22/19,2:50pm,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=156983
Red Sprites,paul smith,8/12/19,4:26pm,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=155464
Red Sprite Lightning / Jets,Paul Smith,6/20/19,3:33pm,"Lake Thunderbird , Oklahoma",35.24576225,-97.23265986,https://spaceweathergallery.com/indiv_upload.php?upload_id=154490
Red Sprites Captured By The ISS,Frankie Lucena,6/14/19,7:06pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=154263
Red Sprite Lightning,Paul Smith,4/18/19,1:49pm,Anadarko Oklahoma,35.0725323,-98.243981,https://spaceweathergallery.com/indiv_upload.php?upload_id=153138
Bright Halo - Sprites - Gigantic Jet Ligh,Frankie Lucena,11/12/18,12:56am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=149191
Red Sprite Lightning,Paul Smith,10/9/18,7:50pm,Minco Oklahoma,35.3124244,-97.9430133,https://spaceweathergallery.com/indiv_upload.php?upload_id=148567
Sprites,Kevin Palivec,10/5/18,4:30pm,"Hawley, Tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=148433
Sprites Before Gordon Became A Tropical S,Frankie Lucena,9/4/18,1:19am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=147725
Red Sprite Lightning,Paul Smith,7/15/18,5:03pm,"Kaw Lake , Oklahoma",36.78007325,-96.89552487,https://spaceweathergallery.com/indiv_upload.php?upload_id=146135
Sprite With M31 Galaxy And Airglow,Brian Whittaker,6/19/18,9:33pm,"near Denver, Colorado, USA",39.72648215,-105.0239771,https://spaceweathergallery.com/indiv_upload.php?upload_id=145353
Sprites,Kevin Palivec,6/13/18,4:36pm,"Hawley, Tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=145173
Red Sprite Lightning,Paul Smith,6/1/18,8:49pm,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=144953
Red Sprite Lightning,Paul Smith,5/25/18,12:40pm,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=144763
Red Sprites Under A Starry Sky,Frankie Lucena,5/24/16,6:42am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=144736
Red Sprites,Jingpeng Liu,5/9/18,7:06pm,"Hickman, Nebraska, USA",40.6199714,-96.6323776,https://spaceweathergallery.com/indiv_upload.php?upload_id=144422
Sprite-Halo And 3 Gigantic Jets - Stacked,Frankie Lucena,4/22/17,12:01am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=144071
More Winter Sprites Near Hawaii,Frankie Lucena,2/9/18,1:07am,"Mauna Kea, Hawaii",19.8206673,-155.4680718,https://spaceweathergallery.com/indiv_upload.php?upload_id=142536
Red Sprite Lightning,Paul Smith,2/9/17,1:01am,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=142533
Red Sprites Over Hawaiian Islands...with,Steve Cullen,10/13/17,10:22pm,"Orting, WA",47.0978795,-122.2042824,https://spaceweathergallery.com/indiv_upload.php?upload_id=139934
Proton Arc With Sprites,Scott Wight,3/5/17,8:39am,"Kodiak Island, Alaska",57.5433765,-153.3574124,https://spaceweathergallery.com/indiv_upload.php?upload_id=133571
Winter Sprites Near Puerto Rico,Frankie Lucena,12/21/16,7:26pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=131630
Sprites Under A Waning Supermoon,Frankie Lucena,11/17/16,7:33am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=130888
Gravity Waves And Sprite Over Hurricane M,Frankie Lucena,10/4/16,10:42pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129854
Red Sprites Generated By Hurricane Mathew,Frankie Lucena,10/1/16,8:22pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129751
Hurricane Mathew Sprites,Frankie Lucena,10/1/16,5:03pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129746
Sprites Between The Clouds,Frankie Lucena,9/20/16,10:19pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129480
Huge Jellyfish Sprite And Halo Above The,Frankie Lucena,9/18/16,5:46pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129448
Sprites,Jan Curtis,9/5/16,4:46am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=129115
Sprites,Jan Curtis,9/3/16,4:38am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128995
Red Sprite Lightning: GIF,Frankie Lucena,8/31/16,2:32am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=128884
Angelic Red Sprite Over The Caribbean,Frankie Lucena,8/28/16,9:31am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=128764
Persied Meteors And Sprites!,Kevin Palivec,8/12/16,1:25pm,"Hawley, Texas",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=128225
Meteors And Sprites,Mike,8/11/16,6:32pm,Missouri Valley Iowa,41.5564975,-95.8879438,https://spaceweathergallery.com/indiv_upload.php?upload_id=128172
Sprites,Mike Daniels,8/10/16,3:21am,Hamilton Montana USA,46.2561815,-114.1546424,https://spaceweathergallery.com/indiv_upload.php?upload_id=128124
Sprites,Jan Curtis,8/8/16,6:18pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128089
Sprites,Jan Curtis,8/8/16,6:16pm,"Cheyenne, Wyoming",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128088
Sprites,Jan Curtis,8/8/16,6:14pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128087
"Auroras, Sprites, Lightning",Jake Stehli,7/12/16,9:59am,"Hartford, Wisconsin, USA",43.3177776,-88.378857,https://spaceweathergallery.com/indiv_upload.php?upload_id=127325
Sprites,Jan Curtis,7/7/16,6:12pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=127182
Sprite,Jan Curtis,7/7/16,6:00am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=127171
Sprites,Jan Curtis,6/29/16,6:05am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=126953
"Mars, Saturn And Sprites Over Puerto Rico",Frankie Lucena,5/2/16,1:56am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=125093
Sprites And Gigantic Jet,Kevin palivec,4/28/16,11:57am,"Hawley,tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=125044
Bright Sprite Over The Indian Ocean,Frankie Lucena,4/18/15,5:11pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=124869
First ISS Photos Of Red Sprites In 2016,Frankie Lucena,3/18/16,5:57am,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=123701
Sprites - TLES And Our Global Electric C,Frankie Lucena,2/3/16,7:22pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=122487
Red Sprite Over Vietnam,Frankie Lucena,1/11/16,9:32pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=121753
ISS Captures A Sprite On Video Over Texas,Frankie Lucena,11/28/15,7:01pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=120325
ISS Captures Sprites Over Africa,Frankie Lucena,11/26/15,9:36pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=120294
Sprites - Blue Starters - Blue Jets - Gig,Frankie Lucena,10/26/15,9:14pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=119328
ISS Captures A Red Sprite Over Mexico,Frankie Lucena,8/16/15,1:07am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=116350
ISS Captures A Sprite And Troll Jet,Frankie Lucena,8/15/15,1:18am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=116323
Sprites Above Hurricane Hilda,Steve Cullen,8/12/15,2:23am,"Waikoloa, HI",19.94256305,-155.7864904,https://spaceweathergallery.com/indiv_upload.php?upload_id=116136
Sprites,Jan Curtis,7/29/15,11:31pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=115673
Sprite Meteor,Kevin Palivec,7/28/15,11:50am,Hawley Texas,32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=115651
Red Sprite,Kevin Palivec,7/9/15,12:06pm,Hawley Texas,32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=114978
Possible Sprites?,Nathaniel,6/30/15,11:09pm,"West Yellowstone, MT, USA",44.6632505,-111.101169,https://spaceweathergallery.com/indiv_upload.php?upload_id=114496
Sprites And Milky Way,Josh Thum,6/15/14,3:10am,"Sayner, Wisconsin",45.9860625,-89.5326435,https://spaceweathergallery.com/indiv_upload.php?upload_id=113546
Gigantic Jet Lightning: More Powerful T,Frankie Lucena,2/25/10,3:19am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=109231
"Sprites, Gravity Waves, Airglow, Aurora",Randy Halverson,9/3/14,11:04pm,"Kennebec, SD",43.903602,-99.861783,https://spaceweathergallery.com/indiv_upload.php?upload_id=101411
"Sprite, Air Glow Gravity Waves, Stars, St",Tom A. Warner,8/30/14,10:39am,"New Underwood, South Dakota",44.09332,-102.836282,https://spaceweathergallery.com/indiv_upload.php?upload_id=101211
Sprites Over Lightining On The Ocean,Seth,8/4/14,3:10am,"Outer Banks, NC",35.5668598,-75.468527,https://spaceweathergallery.com/indiv_upload.php?upload_id=100049
Sprite & Mesosphere Gravity Wave Clouds,Jan Curtis,6/28/14,4:50pm,"Eldorado @ Santa Fe, NM",35.5212015,-105.9349075,https://spaceweathergallery.com/indiv_upload.php?upload_id=98797
Sprites,Jan Curtis,6/25/14,2:15pm,"Eldorado @ Santa Fe, NM",35.5212015,-105.9349075,https://spaceweathergallery.com/indiv_upload.php?upload_id=98724
Something More Powerful Than A Sprite,Frankie Lucena,12/24/10,2:52am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=91792
Sprites,Mike Bradbury,12/18/13,10:03pm,"Chandler, Arizona USA",33.3061605,-111.84125,https://spaceweathergallery.com/indiv_upload.php?upload_id=91616
Comet Leonard And A Sprite - Gemini Obser,Frankie Lucena,12/23/21,3:31am,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758,-155.4733555,https://spaceweathergallery.com/indiv_upload.php?upload_id=180799
Winter Sprites Near Hawaii,Frankie Lucena,2/8/18,10:08pm,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758,-155.4733555,https://spaceweathergallery.com/indiv_upload.php?upload_id=142519
Sprite,Jan Curtis,7/10/15,4:25pm,"Near Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=115004
Sprite Over Lubbock Texas,Jan Curtis,6/14/15,1:47pm,"11 Miles south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=113528
Sprites,Jan Curtis,6/12/15,5:57pm,"11 south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=113484
Sprite,Jan Curtis,5/15/15,6:26am,"11 Miles S of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=112737
Sprites,Jan Curtis,9/6/14,8:33pm,"11 miles due south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=101474
Sprite,Harald Edens,7/19/14,7:40am,"801 Leroy Pl, Socorro, NM 87801",34.06623395,-106.9110595,https://spaceweathergallery.com/indiv_upload.php?upload_id=99619